Headline,Outlet,Rating,Link
The US is back in the international climate game,Vox,Left,https://www.allsides.com/news/2021-01-21-2043/us-back-international-climate-game
"On Day One, Biden targets Trump policies on climate, virus",AP Politics & Fact Check,Lean Left,https://www.allsides.com/news/2021-01-20-1801/day-one-biden-targets-trump-policies-climate-virus
California households owe $1bn in water bills as affordability crisis worsens,The Guardian, Lean Left,https://www.allsides.com/news/2021-01-20-1435/california-households-owe-1bn-water-bills-affordability-crisis-worsens
The Four Most Pressing Science Priorities for the Next President,Scientific American,Lean Left,https://www.allsides.com/news/2021-01-20-1236/four-most-pressing-science-priorities-next-president
Biden Needs to Hit the Ground Running on Climateâ€”or Else,Mother Jones, Left,https://www.allsides.com/news/2021-01-18-1802/biden-needs-hit-ground-running-climate-or-else
"Can We Save the Planet, Live Comfortably, and Have Children Too?",RealClearPolitics,Center,https://www.allsides.com/news/2021-01-21-2045/can-we-save-planet-live-comfortably-and-have-children-too
Biden signs first executive actions as president,The Hill,Center,https://www.allsides.com/news/2021-01-20-1759/biden-signs-first-executive-actions-president
Biden Signs First Executive Actions Shortly After Inauguration,AllSides Headline Roundup,Center,https://www.allsides.com/story/biden-signs-first-executive-actions-shortly-after-inauguration
Biden to Cancel Keystone XL Pipeline Permit on First Day in Office,AllSides Headline Roundup,Center,https://www.allsides.com/story/biden-cancel-keystone-xl-pipeline-permit-first-day-office
A Biden presidency could bring a wave of policy shifts. Here are the ones you likely care about.,USA TODAY,Center,https://www.allsides.com/news/2021-01-17-1240/biden-presidency-could-bring-wave-policy-shifts-here-are-ones-you-likely-care
"Mask mandates, Paris accord and halting the wall: Biden thrills the Left with wave of executive orders",Washington Examiner,Lean Right,https://www.allsides.com/news/2021-01-20-1804/mask-mandates-paris-accord-and-halting-wall-biden-thrills-left-wave-executive
From Trout To Polar Bears: How The Environmental Movement Lost America,The American Conservative,Lean Right,https://www.allsides.com/news/2021-01-19-1446/trout-polar-bears-how-environmental-movement-lost-america
" Biden White House chief of staff lays out executive, action-heavy, 10-day agenda",Washington Examiner,Lean Right,https://www.allsides.com/news/2021-01-16-1623/biden-white-house-chief-staff-lays-out-executive-action-heavy-10-day-agenda
NOAA Scientists Say 2020 Was 2nd Hottest Year Ever,Newsmax (News),Lean Right,https://www.allsides.com/news/2021-01-14-1359/trudeau-canada-allies-expect-biden-re-engage-us-world-stage
"Science must determine company climate targets, say executives",New York Post (News),Lean Right,https://www.allsides.com/news/2021-01-11-2330/science-must-determine-company-climate-targets-say-executives
